,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
81,John Olson,@john_olson420·2018年4月16日,2018-04-15,"I'm not sure what it says about mebut the first thing I noticed is that pizza is from John's of Bleecker Street New York City oh yea there's a naked chick in the picture too,I see a naked chick every day, haven't had John's Pizza in years",,,3,en,,Bleecker Street Pizza New York
82,Raoul Martinez,@RaoulMartinezTV·2018年3月29日,2018-03-29,In love with #NewYork #Pizza! Today: The Original John’s Of Bleecker Street. @JohnsOfBleecker,2,,13,en,,Bleecker Street Pizza New York
83,Real New York Tours,@RealNYTours·2018年1月21日,2018-01-21,Always room for a slice at Bleecker Street Pizza on a Real New York Tour! #realnewyorktours #bleekerstreetpizza #nyctourism #nycwalkingtours #greenwichvillage,,,1,en,,Bleecker Street Pizza New York
84,Mooseface,@mooseface1029·2018年1月20日,2018-01-20,"(@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/03GJbFHcero",,,1,en,,Bleecker Street Pizza New York
85,Dawn Langdon,@LoriDawnLangdon·2018年1月5日,2018-01-05,Check out NO SLICES John's PIZZA 1929 Bleecker Street NYC New York City Coffee Mug RARE NY  http://ebay.com/itm/-/232594365834?roken=cUgayN&soutkn=1ShcNk… via @eBay,,,,en,,Bleecker Street Pizza New York
86,Toye Lynn Piccirilli,@dishuplove·2017年12月27日,2017-12-27,Missing that #newyorkcity #pizza #tourist #newyork #foodie @ John's of Bleecker Street https://instagram.com/p/BdONhjzhg8l/,,,1,en,,Bleecker Street Pizza New York
87,Piercing Ken,@PiercingKen·2017年12月20日,2017-12-19,"Pizza with Peeps :) (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/dYevC8T4Ob2",,,,en,,Bleecker Street Pizza New York
88,Mika Pyyhkala,@pyyhkala·2017年12月14日,2017-12-14,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/jRynz2yFbMx",,,1,en,,Bleecker Street Pizza New York
89,Toye Lynn Piccirilli,@dishuplove·2017年12月12日,2017-12-12,#newyorkcity #pizza #tourist #newyork @ John's of Bleecker Street https://instagram.com/p/BcnnAY-Bc6o/,1,,,en,,Bleecker Street Pizza New York
90,Saurabh Jhaveri,@saurabhj86·2017年11月18日,2017-11-18,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/7k5iaK8juT7",,,1,en,,Bleecker Street Pizza New York
91,David Cheng,@ChengUSMC·2017年11月7日,2017-11-06,Our favorite New York pizza place! With a pitcher of Yuengling  @ John's of Bleecker Street https://instagram.com/p/BbLDn_hl5xm/,1,,,en,,Bleecker Street Pizza New York
92,Orly Benun,@orlybenun·2017年11月3日,2017-11-03,Bleecker Street Piza#pizza #bleecker #westvillage #newyorkcity #newyork #foodphotography #pizza #pizzeria #פיצה http://ift.tt/2iXSQzB,,,1,en,,Bleecker Street Pizza New York
93,Piercing Ken,@PiercingKen·2017年10月21日,2017-10-21,"Pizza with peeps. (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/kkBaN1axr3y",,,,en,,Bleecker Street Pizza New York
94,yeji rachael chung,@yejichung·2017年10月20日,2017-10-20,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/fWv8pUZvnPq",,,1,en,,Bleecker Street Pizza New York
95,The Bug Barians®,@TheBugBarians·2017年10月20日,2017-10-20,"You know what I miss, Kugey. A real New York City bagel and real New York City pizza. John's Pizzeria on Bleecker Street. Best!",1,1,2,en,,Bleecker Street Pizza New York
96,Jason A. Hurley,@jasonahurley·2017年10月9日,2017-10-09,"12. White pie from Food Network’s “Best Pizza In New York” for three years running, Bleecker Street Pizza. It’s good, but not the best.",,,1,en,,Bleecker Street Pizza New York
97,Bryan Pittard (He/Him),@flameonbryan·2017年10月3日,2017-10-03,"Doctor Strange's favorite place to get a slice! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/khhr2ibhFEI",,,2,en,,Bleecker Street Pizza New York
98,Brian Carrier,@natcadude·2017年9月29日,2017-09-29,"@newyorkupstate #BestOfUpstateNY #pizza O’scugnizzo Pizzeria614 Bleecker StreetUtica, New York 13501",,,2,it,,Bleecker Street Pizza New York
99,Jennifer,@jrtrep·2017年9月19日,2017-09-18,New York Pizza!!sofiakohn we found it!! @ John's of Bleecker Street https://instagram.com/p/BZMuZjGjtC_/,,,,en,,Bleecker Street Pizza New York
100,Katrina Brooke Lam,@katrinabrookel·2017年9月9日,2017-09-09,"I'm at Bleecker Street Pizza in New York, NY https://swarmapp.com/c/9sudirBxoSs",,,,en,,Bleecker Street Pizza New York
101,Bernadette RL,@BernmeisterRL·2017年9月4日,2017-09-04,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/a5zBGHEPX71",,,1,en,,Bleecker Street Pizza New York
102,Kya Shoate,@KyaCenae·2017年7月4日,2017-07-04,"Best Pizza in NY!  (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/dw7SR41oTx2",,1,1,sv,,Bleecker Street Pizza New York
103,KNIGHT GIRL  ,@olvidokw·2017年7月3日,2017-07-03,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/dRIcwtXiwXZ",,,1,en,,Bleecker Street Pizza New York
104,Will,@willdownsunder·2017年6月20日,2017-06-20,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/6jNzsly8Ju5",1,,2,en,,Bleecker Street Pizza New York
